Constituency,Const. No.,Leading Candidate,Trailing Candidate,Margin,Status,State ID
CHENNAI CENTRAL,4,DAYANIDHI MARAN,VINOJ,244689,Result Declared,S22
CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,R. MANOHAR,339222,Result Declared,S22
CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,DR.TAMILISAI SOUNDARARAJAN,225945,Result Declared,S22
CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,CHANDRAHASAN M,103554,Result Declared,S22
COIMBATORE,20,GANAPATHY RAJKUMAR P,ANNAMALAI K,118068,Result Declared,S22
CUDDALORE,26,M.K. VISHNUPRASAD,P. SIVAKOZHUNDU,185896,Result Declared,S22
DHARMAPURI,10,MANI. A.,SOWMIYA ANBUMANI,21300,Result Declared,S22
DINDIGUL,22,SACHITHANANTHAM R,MOHAMED MUBARAK M A,443821,Result Declared,S22
ERODE,17,K E PRAKASH,ASHOK KUMAR,236566,Result Declared,S22
KALLAKURICHI,14,MALAIYARASAN D,KUMARAGURU R,53784,Result Declared,S22
KANCHEEPURAM,6,SELVAM. G,RAJASEKAR. E,221473,Result Declared,S22
KANNIYAKUMARI,39,VIJAYAKUMAR (Alias) VIJAY VASANTH,RADHAKRISHNAN P,179907,Result Declared,S22
KARUR,23,JOTHIMANI. S,THANGAVEL. L,166816,Result Declared,S22
KRISHNAGIRI,9,GOPINATH K,JAYAPRAKASH V,192486,Result Declared,S22
MADURAI,32,VENKATESAN S,RAAMA SREENIVASAN,209409,Result Declared,S22
MAYILADUTHURAI,28,SUDHA R,BABU P,271183,Result Declared,S22
NAGAPATTINAM,29,SELVARAJ V,DR SURSITH SANKAR G,208957,Result Declared,S22
NAMAKKAL,16,MATHESWARAN V S,TAMILMANI S,29112,Result Declared,S22
Amalapuram (SC),7,G M HARISH (BALAYOGI),RAPAKA VARAPRASADA RAO,342196,Result Declared,S01
Anakapalle,5,C.M.RAMESH,BUDI MUTYALA NAIDU,296530,Result Declared,S01
Ananthapur,19,AMBICA G LAKSHMINARAYANA VALMIKI,MALAGUNDLA SANKAR NARAYANA,188555,Result Declared,S01
Araku (ST),1,GUMMA THANUJA RANI,KOTHAPALLI GEETHA,50580,Result Declared,S01
Bapatla (SC),15,KRISHNA PRASAD TENNETI,NANDIGAM SURESH BABU,208031,Result Declared,S01
Chittoor(SC),25,DAGGUMALLA PRASADA RAO,REDDEPPA.N .,220479,Result Declared,S01
Eluru,10,PUTTA MAHESH KUMAR,KARUMURI SUNIL KUMAR,181857,Result Declared,S01
Guntur,13,DR CHANDRA SEKHAR PEMMASANI,KILARI VENKATA ROSAIAH,344695,Result Declared,S01
Hindupur,20,B K PARTHASARATHI,J SHANTHA,132427,Result Declared,S01
Kadapa,21,Y. S. AVINASH REDDY,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,62695,Result Declared,S01
Kakinada,6,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),CHALAMALASETTY SUNIL,229491,Result Declared,S01
Kurnoolu,18,BASTIPATI NAGARAJU PANCHALINGALA,B Y RAMAIAH,111298,Result Declared,S01
Machilipatnam,11,BALASHOWRY VALLABHANENI,SIMHADRI CHANDRA SEKHAR RAO,223179,Result Declared,S01
Nandyal,17,DR BYREDDY SHABARI,POCHA BRAHMANANDA REDDY,111975,Result Declared,S01
Narsapuram,9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),UMABALA GUDURI,276802,Result Declared,S01
Narsaraopet,14,LAVU SRIKRISHNA DEVARAYALU,ANIL KUMAR POLUBOINA,159729,Result Declared,S01
Nellore,22,PRABHAKAR REDDY VEMIREDDY,VENUMBAKA VIJAYASAI REDDY,245902,Result Declared,S01
Ongole,16,MAGUNTA SREENIVASULU REDDY,DR CHEVIREDDY BHASKAR REDD,50199,Result Declared,S01
Rajahmundry,8,DAGGUBATI PURANDHESHWARI,DR. GUDURI SRINIVAS,239139,Result Declared,S01
Rajampet,24,P V MIDHUN REDDY,NALLARI KIRAN KUMAR REDDY,76071,Result Declared,S01
Inner Manipur,1,ANGOMCHA BIMOL AKOIJAM,THOUNAOJAM BASANTA KUMAR SINGH,109801,Result Declared,S14
Outer Manipur,2,ALFRED KANNGAM S ARTHUR,KACHUI TIMOTHY ZIMIK,85418,Result Declared,S14
Agra,18,PROF S P SINGH BAGHEL,SURESH CHAND KARDAM,271294,Result Declared,S24
Akbarpur,44,DEVENDRA SINGH ALIAS BHOLE SINGH,RAJARAM PAL,44345,Result Declared,S24
Aligarh,15,SATISH KUMAR GAUTAM,BIJENDRA SINGH,15647,Result Declared,S24
Allahabad,52,UJJWAL RAMAN SINGH,NEERAJ TRIPATHI,58795,Result Declared,S24
Ambedkar Nagar,55,LALJI VERMA,RITESH PANDEY,137247,Result Declared,S24
Amethi,37,KISHORI LAL,SMRITI IRANI,167196,Result Declared,S24
Amroha,9,KANWAR SINGH TANWAR,KUNWAR DANISH ALI,28670,Result Declared,S24
Aonla,24,NEERAJ MAURYA,DHARMENDRA KASHYAP,15969,Result Declared,S24
Azamgarh,69,DHARMENDRA YADAV,DINESH LAL YADAV “NIRAHUA”,161035,Result Declared,S24
Badaun,23,ADITYA YADAV,DURVIJAY SINGH SHAKYA,34991,Result Declared,S24
Baghpat,11,DR RAJKUMAR SANGWAN,AMARPAL,159459,Result Declared,S24
Baharaich,56,ANAND KUMAR,RAMESH CHANDRA,64227,Result Declared,S24
Ballia,72,SANATAN PANDEY,NEERAJ SHEKHAR,43384,Result Declared,S24
Banda,48,KRISHNA DEVI SHIVSHANKER PATEL,R. K. SINGH PATEL,71210,Result Declared,S24
Bansgaon,67,KAMLESH PASWAN,SADAL PRASAD,3150,Result Declared,S24
Barabanki,53,TANUJ PUNIA,RAJRANI RAWAT,215704,Result Declared,S24
Bareilly,25,CHHATRA PAL SINGH GANGWAR,PRAVEEN SINGH ARON,34804,Result Declared,S24
Basti,61,RAM PRASAD CHAUDHARY,HARISH CHANDRA ALIAS HARISH DWIVEDI,100994,Result Declared,S24
Bhadohi,78,DR. VINOD KUMAR BIND,LALITESHPATI TRIPATHI,44072,Result Declared,S24
Bijnor,4,CHANDAN CHAUHAN,DEEPAK,37508,Result Declared,S24
